orf,mean_accuracy,mean_precision,mean_recall
FY,0.8846691060749133,0.5661863699448508,0.8667029379760608
CLG,0.8529238371681119,0.47606793430980016,0.5509192050015189
ACP,0.8457102763027662,0.46916785772067077,0.744274342156963
CCD,0.8417532656594272,0.43917876331919503,0.5066443846300603
CPG,0.835186933864932,0.45109589762942204,0.6415876470283435
ABP,0.8314404434123756,0.3916442254679551,0.37700775401661735
Sigma,0.8271433751656765,0.3980472937621174,0.44499702856600076
BHH,0.8265578142544933,0.3965435278445116,0.4548754962347719
CNM,0.8236967627902472,0.37175911343107,0.31711726793337236
APH,0.8233009078146,0.4099739327017436,0.5042921049449884
CGQ,0.8225466695721653,0.3933251295672575,0.41804637147401025
ACN,0.8216993089366463,0.3983546902683219,0.5343108099963877
ACF,0.8205948251438342,0.40017104263460757,0.5615709093971049
AND,0.8201052811648945,0.4114658106760021,0.6580496669998268
AVI,0.8145694225409734,0.34904797894240114,0.3793805266986128
ADD,0.8113532750515295,0.3820584871514941,0.4925409807294044
BBQ,0.8094342400519865,0.4078341535519532,0.7025694127558003
BMK,0.808237280852956,0.39526395072867915,0.6145568855035664
CNT,0.804162309435862,0.36621984412578223,0.5395245478546293
CIB,0.8017428696173097,0.38247171937647595,0.6030573203692654
CHM,0.7738756962671133,0.3603721911494349,0.7845969944425335
