,orf
YKL134C,36
YHL031C,34
YGL106W,33
YLR418C,30
YAL016W,29
YGR061C,29
YBR267W,29
YAL010C,28
YLR048W,28
YDR504C,28
YDR027C,28
YDL013W,27
YMR179W,27
YLR079W,27
YGL022W,26
YAL012W,26
YNL048W,26
YPL024W,26
YIL082W,26
YPL049C,25
YNL225C,25
YOR391C,25
YMR300C,25
YPL042C,25
YKR024C,25
YJR121W,25
YBR156C,25
YCR047C,25
YNR005C,24
YGR092W,24
YNL280C,24
YER074W,24
YJR090C,24
YKR007W,24
YDR069C,24
YDR388W,24
YLR403W,24
YNL032W,24
YPL125W,24
YEL046C,24
YLR452C,24
YGL173C,24
YML121W,23
YBR170C,23
YJR132W,23
YGL078C,23
YLR383W,23
YNR023W,23
YJL080C,23
YEL051W,23
YKR082W,23
YPL045W,23
YBL027W,23
YDR165W,23
YPL031C,23
YGL100W,23
YKR001C,23
YER095W,23
YBL072C,23
YEL029C,23
YKL149C,23
YDL179W,23
YDR432W,23
YIL052C,23
YLR234W,22
YPL106C,22
YKL139W,22
YOL051W,22
YLR224W,22
YDR349C,22
YDL005C,22
YPL249C-A,22
YGR110W,22
YOR388C,22
YJL204C,22
YIL098C,22
YMR205C,22
YDL020C,22
YIL084C,22
YPL254W,22
YBR097W,22
YOR106W,21
YJL180C,21
YAL026C,21
YDL074C,21
YKL181W,21
YLR423C,21
YCR097W,21
YIL127C,21
YPL234C,21
YGL105W,21
YLR185W,21
YPR173C,21
YGL038C,21
YLR337C,21
YLR370C,21
YBR017C,21
YER074W-A,21
YNL098C,21
YBR127C,21
YFL057C,21
YLR399C,21
YHR025W,21
YGL240W,21
YBR112C,21
YGL135W,21
YER056C-A,21
YNL139C,21
YDR129C,21
YEL013W,21
YER117W,21
YGR167W,20
YBR168W,20
YCR009C,20
YBL099W,20
YOR147W,20
YLR304C,20
YOR128C,20
YOR214C,20
YPL139C,20
YAL013W,20
YLR244C,20
YER026C,20
YOR331C,20
YEL020C-B,20
YNL199C,20
YHR005C,20
YMR108W,20
YGR231C,20
YMR021C,20
YNL138W-A,20
YOR008C,20
YGR104C,20
YHR089C,20
YER151C,20
YMR026C,20
YDR300C,19
YGR162W,19
YJL136C,19
YOL142W,19
YFR054C,19
YKL121W,19
YIL033C,19
YDR520C,19
YGR240C,19
YHR165C,19
YLL006W,19
YDL006W,19
YML048W,19
YNL169C,19
YCR081W,19
YJL176C,19
YPR024W,19
YDR075W,19
YML073C,19
YNL019C,19
YJL140W,19
YIL049W,19
YAR015W,19
YJL029C,19
YHR102W,19
YML013W,19
YLR320W,19
YKL054C,19
YCR002C,19
YBL025W,19
YGR192C,18
YOR073W,18
YOL004W,18
YKR092C,18
YLR148W,18
YER070W,18
YLR182W,18
YBR191W,18
YLR448W,18
YGR155W,18
YDR138W,18
YMR133W,18
YPL194W,18
YPL188W,18
YEL044W,18
YIL072W,18
YDR195W,17
YOL072W,17
YGL189C,17
YDR289C,17
YPL086C,17
YLR447C,17
YNL186W,17
YNL297C,17
YGL167C,17
YBR189W,17
YDR127W,17
YMR143W,17
YLR324W,17
YHR027C,17
YMR217W,17
YDR219C,17
YDR074W,17
YMR116C,16
YOR290C,16
YDR477W,16
YHR026W,16
YOR198C,16
YOL086C,16
YPL050C,16
YDR456W,16
YCR028C,16
YNL248C,16
YJR145C,16
YLR061W,16
YGL095C,16
YGR033C,16
YLR250W,16
YNL120C,16
YNL220W,16
YGR262C,16
YKL080W,16
YLR435W,16
YDR245W,16
YPL178W,16
YLR268W,16
YMR125W,16
YMR269W,16
YLR396C,15
YOR323C,15
YKL092C,15
YOL076W,15
YDR149C,15
YMR275C,15
YDR207C,15
YER107C,15
YNR051C,15
YKL073W,15
YDL185W,15
YGR132C,15
YMR307W,14
YHR111W,14
YEL036C,14
YOR293W,14
YLR363C,14
YKR014C,14
YKL025C,14
YCR033W,14
YMR077C,14
YPL239W,14
YDL116W,13
YIR033W,13
YLL054C,13
YDR161W,13
YMR032W,13
YDL040C,12
YKL143W,12
YOL156W,12
YJL124C,12
YKL002W,12
YPR135W,11
YOR014W,11
YNL018C,10
YER019W,9
YLR150W,9
YJL056C,8
YCR042C,7
YLR394W,6
YDR096W,6
YEL034C-A,6
YBR054W,5
YHR205W,5
YLR025W,5
YIL040W,5
YNL084C,4
YDL191W,4
YBR077C,4
YPL084W,4
YKR035C,4
YLR228C,3
YHR155W,3
YJR136C,3
YDR181C,2
YDR470C,2
YAL063C,2
YER076C,2
YPR141C,2
YMR140W,2
YNL336W,2
YOR359W,2
YJR122W,2
YNL085W,1
YGR227W,1
YOR113W,1
YMR212C,1
YIL066C,1
YGR271C-A,1
YHR160C,1
YGL244W,1
YGR285C,1
YMR312W,1
YPL121C,1
YOL013C,1
YDR382W,1
YLR357W,1
YLL007C,1
YDR395W,1
YOR094W,1
YNL034W,1
YER181C,1
YBL100C,1
YHR216W,1
YBR063C,1
YDR225W,1
YIR009W,1
YDR320C-A,1
YOR209C,1
YHR169W,1
YBR173C,1
YNL054W,1
YOR312C,1
