orf,freq
YAR015W,30
YPL129W,30
YKR007W,29
YKL054C,29
YBR170C,28
YEL036C,28
YJR121W,28
YGR132C,28
YOR331C,27
YMR307W,27
YDR300C,27
YDR005C,27
YLR234W,27
YNL120C,27
YJL175W,27
YLR048W,27
YDR209C,27
YHR005C,26
YKL143W,26
YGR240C,26
YER151C,26
YDR207C,26
YOR073W,26
YKL041W,26
YML121W,26
YLR025W,26
YNL069C,26
YGR092W,26
YMR133W,26
YPR024W,26
YGR192C,25
YLR370C,25
YAL013W,25
YKR024C,25
YOL086C,24
YDL005C,24
YOR106W,24
YMR312W,24
YHL031C,24
YPL273W,24
YEL029C,24
YDL160C,24
YER095W,24
YIL038C,24
YGL105W,24
YNL236W,24
YBR113W,24
YKR001C,24
YER117W,24
YML048W,23
YOR128C,23
YJL140W,23
YNL280C,23
YLR065C,23
YDR069C,23
YOR014W,23
YMR142C,23
YGR046W,23
YIR009W,23
YOR147W,23
YDR027C,23
YNR023W,23
YGL240W,23
YDR237W,23
YGL038C,23
YPL042C,23
YJL176C,22
YBL027W,22
YJL136C,22
YDR349C,22
YIL040W,22
YJL056C,22
YMR300C,22
YDL020C,22
YDL185W,22
YLR423C,22
YLR039C,22
YAL016W,22
YGL190C,22
YNR005C,22
YNL302C,22
YMR143W,22
YOL076W,22
YJL204C,22
YKL134C,21
YDR432W,21
YEL048C,21
YLR337C,21
YEL027W,21
YGR118W,21
YMR179W,21
YML013W,21
YPL031C,21
YKL139W,21
YGL115W,21
YAL010C,21
YDR138W,21
YDR382W,21
YDR129C,21
YPR135W,21
YDR074W,21
YLR268W,21
YPL178W,21
YGL078C,21
YJR132W,21
YGL135W,21
YJR145C,21
YHL011C,21
YDL013W,21
YPR018W,21
YLR192C,21
YDR159W,21
YBR168W,21
YDR289C,21
YAL026C,21
YNL169C,20
YLR363C,20
YPR173C,20
YCL001W-A,20
YOR036W,20
YMR021C,20
YLR418C,20
YHR025W,20
YGR155W,20
YCR009C,20
YGL173C,20
YLR338W,20
YNL248C,20
YHR111W,20
YNL139C,20
YLR182W,20
YDR219C,20
YLR324W,20
YDR024W,20
YPL090C,19
YPR141C,19
YOR290C,19
YDR450W,19
YEL051W,19
YPL125W,19
YIL148W,19
YLR448W,19
YPL086C,19
YBL025W,19
YDR245W,19
YKL181W,19
YLR061W,19
YDR195W,19
YKL121W,19
YPL050C,19
YPL248C,19
YMR116C,19
YLR244C,19
YGR104C,19
YMR217W,19
YBR127C,19
YLR185W,19
YGL234W,19
YBR017C,19
YER074W,19
YKR019C,19
YCR053W,19
YDL075W,19
YLR148W,19
YJL124C,19
YOR359W,19
YKL080W,19
YOL051W,19
YMR269W,19
YAL012W,18
YPL106C,18
YKL025C,18
YPR101W,18
YER044C,18
YGR262C,18
YKR082W,18
YFR054C,18
YBL099W,18
YLR079W,18
YIL033C,18
YKL113C,18
YNL225C,18
YJL180C,18
YHR026W,18
YLL027W,18
YCR047C,18
YIL049W,18
YPL234C,18
YLR320W,18
YBR097W,17
YPL174C,17
YDR161W,17
YNL297C,17
YML112W,17
YER056C-A,17
YGR061C,17
YPL242C,17
YLL006W,17
YDR173C,17
YBR156C,17
YLR399C,17
YPR164W,17
YLR435W,17
YPL188W,17
YCR002C,17
YBR040W,16
YOL081W,16
YPL024W,16
YDR504C,16
YOR293W,16
YBR200W,16
YLR369W,16
YBR189W,16
YDR149C,16
YHR064C,16
YBL072C,16
YIL084C,16
YMR077C,16
YDR295C,16
YOR323C,16
YLR350W,16
YDR388W,16
YGL058W,16
YDL040C,15
YLR403W,15
YMR275C,15
YHR059W,15
YBR279W,15
YBR112C,15
YDL061C,15
YBR077C,15
YOR198C,15
YDL191W,15
YMR125W,15
YEL046C,14
YPL139C,14
YKL202W,14
YIL052C,14
YCL069W,14
YPL045W,14
YOR008C,14
YMR205C,14
YEL044W,14
YNL339C,13
YOR180C,13
YDL006W,13
YER070W,13
YGL244W,13
YAL035W,13
YAR050W,13
YDR477W,13
YKL006W,13
YLL007C,12
YGL197W,12
YPL254W,12
YOL004W,11
YGR243W,11
YGL095C,11
YDR174W,11
YPL023C,10
YBR173C,10
YGL100W,10
YKL009W,10
YNL032W,9
YLR452C,9
YIL173W,9
YKL057C,8
YNR051C,8
YLR434C,7
YOR332W,6
YJR090C,6
YGL029W,6
YGL260W,6
YNL271C,4
YGR033C,4
YBR266C,4
YDL081C,4
YPL059W,4
YNL199C,3
YLL021W,3
YNL197C,3
YPL037C,3
YMR322C,3
YCR020W-B,3
YNL084C,3
YPL180W,2
YLR252W,2
YIR019C,2
YOR094W,2
YDR117C,2
YML037C,2
YNL171C,2
YLR286C,2
YIL018W,2
YNL338W,2
YPL145C,2
YGL258W,2
YGR020C,2
YER181C,2
YNR052C,2
YNL198C,2
YPL194W,2
YOR209C,1
YNL140C,1
YDR369C,1
YGL167C,1
YKR105C,1
YOL143C,1
YGL084C,1
YER030W,1
YML063W,1
YER111C,1
YDR433W,1
YBR191W,1
YOL079W,1
YGR006W,1
YAL021C,1
YPL268W,1
YHR137W,1
YPR072W,1
YIL028W,1
YGR110W,1
YDR439W,1
YDL116W,1
YGL132W,1
YJL127C,1
YGR187C,1
YLR224W,1
YLR239C,1
YHR162W,1
YBL100C,1
YKL176C,1
YOR263C,1
YPR163C,1
YLR447C,1
YOR369C,1
YOR113W,1
YER184C,1
YLR264W,1
YCR081W,1
YKL073W,1
YBR064W,1
YOR139C,1
YDR225W,1
YPL192C,1
YER085C,1
YMR232W,1
YPL193W,1
YCR094W,1
YBR267W,1
